scheme_name,fmv_31jan2018
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan - Dividend Option,14.7462
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Direct Plan - Growth Option,23.5385
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Regular Plan - Dividend Option,14.4301
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme - Regular Plan - Growth Option,23.0119
Aditya Birla Sun Life Advantage Fund - Dividend - Direct Plan,134.71
Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,455.21
Aditya Birla Sun Life Advantage Fund - Regular Growth,437.32
Aditya Birla Sun Life Advantage Fund -Regular Dividend,106.94
Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Direct Plan - Dividend Option,13.5004
Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Direct Plan - Growth Option,14.1696
Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Regular Plan - Dividend Option,26.0924
Aditya Birla Sun Life Asset Allocator Multi Manager FoF Scheme - Regular Plan - Growth Option,28.3361
Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Dividend,216.86
Aditya Birla Sun Life Balanced '95 Fund - Direct Plan-Growth,810.94
Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Dividend,151.06
Aditya Birla Sun Life Balanced '95 Fund - Regular Plan-Growth,769.79
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Dividend Option,22.76
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,53.06
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Dividend Option,21.79
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,50.94
Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Direct Plan,51.6914
Aditya Birla Sun Life Banking & PSU Debt Fund - Growth - Regular Plan,50.2863
Aditya Birla Sun Life Banking & PSU Debt Fund - Monthly Dividend - Direct Plan,12.7234
Aditya Birla Sun Life Banking & PSU Debt Fund - Monthly Dividend - Regular Plan,12.3401
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,10.0273
Aditya Birla Sun Life Banking & PSU Debt Fund - Weekly Dividend - Direct Plan,10.5352
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Dividend,25.05
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,29.59
Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Dividend,19.97
Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,28.44
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Direct Plan - Growth,13.102
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 22 - Regular Plan - Growth,12.4747
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Direct Plan - Growth,12.5907
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 25 - Regular Plan - Growth,12.07
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Direct Plan-Growth,11.6842
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 26 - Regular Plan-Growth,11.4739
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Direct Plan-Growth,12.0507
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 29 - Regular Plan-Growth,11.7035
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Direct Plan-Growth,11.6642
Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Regular Plan-Growth,11.429
Aditya Birla Sun Life Cash Manager - Daily Dividend - Direct Plan,100.2162
Aditya Birla Sun Life Cash Manager - Daily Dividend - Regular Plan,100.4083
Aditya Birla Sun Life Cash Manager - Growth - Direct Plan,429.6291
Aditya Birla Sun Life Cash Manager - Growth Plan,411.997
Aditya Birla Sun Life Cash Manager - Institutional Plan - Daily Dividend,100.1626
Aditya Birla Sun Life Cash Manager - Institutional Plan - Growth,288.8679
Aditya Birla Sun Life Cash Manager - Institutional Plan - Weekly Dividend,100.3674
Aditya Birla Sun Life Cash Manager - Weekly Dividend - Direct Plan,100.372
Aditya Birla Sun Life Cash Manager - Weekly Dividend - Regular Plan,100.3673
Aditya Birla Sun Life Cash Plus - Daily Dividend,100.195
Aditya Birla Sun Life Cash Plus - Daily Dividend - Direct Plan,100.195
Aditya Birla Sun Life Cash Plus - Dividend,115.0263
Aditya Birla Sun Life Cash Plus - Dividend - Direct Plan,149.8243
Aditya Birla Sun Life Cash Plus - Growth,274.9278
Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,275.9575
Aditya Birla Sun Life Cash Plus - Institutional Dividend,108.023
Aditya Birla Sun Life Cash Plus - Weekly Dividend,100.2612
Aditya Birla Sun Life Cash Plus - Weekly Dividend - Direct Plan,100.2616
Aditya Birla Sun Life Cash Plus- Discipline Advantage Plan,184.7652
Aditya Birla Sun Life Cash Plus-Institutional (Growth),457.838
Aditya Birla Sun Life Cash Plus-Institutional -Weekly Dividend,108.1071
Aditya Birla Sun Life Cash Plus-Retail (Dividend),163.694
Aditya Birla Sun Life Cash Plus-Retail (Growth),446.1462
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Dividend - Direct Plan,17.4785
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Dividend - Regular Plan,17.072
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan,24.5979
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,24.0689
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Bonus,13.0627
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Dividend,11.5663
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Growth,13.0629
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Bonus,12.7456
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Dividend,11.2562
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Growth,12.7301
Aditya Birla Sun Life Dividend Yield Plus - Dividend - Direct Plan,27.72
Aditya Birla Sun Life Dividend Yield Plus - Dividend - Regular Plan,17.48
Aditya Birla Sun Life Dividend Yield Plus - Growth - Direct Plan,192.73
Aditya Birla Sun Life Dividend Yield Plus - Growth - Regular Plan,185.25
Aditya Birla Sun Life Dual Advantage Fund - Series I - Direct Plan - Dividend Payout,11.4315
Aditya Birla Sun Life Dual Advantage Fund - Series I - Direct Plan - Growth,11.4315
Aditya Birla Sun Life Dual Advantage Fund - Series I - Regular Plan - Dividend Payout,11.218
Aditya Birla Sun Life Dual Advantage Fund - Series I - Regular Plan - Growth,11.218
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan - Dividend,12.2297
Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.4001
Aditya Birla Sun Life Dynamic Bond Fund - Growth - Regular Plan,29.5685
Aditya Birla Sun Life Dynamic Bond Fund - Monthly Dividend - Direct Plan,10.7491
Aditya Birla Sun Life Dynamic Bond Fund - Monthly Dividend - Regular Plan,10.5554
Aditya Birla Sun Life Dynamic Bond Fund - Quarterly Dividend - Direct Plan,10.0828
Aditya Birla Sun Life Dynamic Bond Fund - Quarterly Dividend - Regular Plan,9.9925
