symbol,isin,fmv_31jan2018
20MICRONS,INE144J01027,53.1
21STCENMGM,INE253B01015,40.2
3IINFOTECH,INE748C01020,6.5
3MINDIA,INE470A01017,18875
5PAISA,INE618L01018,305
63MOONS,INE111B01023,109.5
8KMILES,INE650K01021,753
A2ZINFRA,INE619I01012,38.65
AARTIDRUGS,INE767A01016,651.55
AARTIIND,INE769A01020,1061.8
AARVEEDEN,INE273D01019,50
AARVI,INE754X01016,95
ABAN,INE421A01028,215.6
ABB,INE117A01022,1665
ABBOTINDIA,INE358A01014,5650
ABCAPITAL,INE674K01013,172.8
ABFRL,INE647O01011,164
ABGSHIP,INE067H01016,12.6
ABMINTLTD,INE251C01017,43.35
ACC,INE012A01025,1737.9
ACCELYA,INE793A01012,1497
ACE,INE731H01025,175
ACEINTEG,INE543V01017,44.5
ADANIENT,INE423A01024,218.75
ADANIPORTS,INE742F01042,435.5
ADANIPOWER,INE814H01011,38.25
ADANITRANS,INE931S01010,215
ADFFOODS,INE982B01019,275
ADHUNIK,INE400H01019,5.75
ADHUNIKIND,INE452L01012,88.8
ADLABS,INE172N01012,62.4
ADORWELD,INE045A01017,524.9
ADSL,INE102I01027,23.2
ADVANIHOTR,INE199C01026,76
ADVENZYMES,INE837H01020,269
AEGISCHEM,INE208C01025,250.75
AFL,INE020G01017,59.7
AGARIND,INE204E01012,570
AGCNET,INE676A01019,122.4
AGLSL,INE517U01013,120.75
AGRITECH,INE449G01018,110.8
AGROPHOS,INE740V01019,36.5
AHLEAST,INE926K01017,392.5
AHLUCONT,INE758C01029,357.9
AHLWEST,INE915K01010,289.9
AIAENG,INE212H01026,1570
AICHAMP,INE768E01024,37.45
AIFL,INE428O01016,463.8
AIRAN,INE645W01018,242
AIROLAM,INE801L01010,49
AISL,INE635Y01015,141.3
AJANTPHARM,INE031B01049,1460.8
AJMERA,INE298G01027,318
AJOONI,INE820Y01013,46.3
AKSHARCHEM,INE542B01011,743.95
AKSHOPTFBR,INE523B01011,39.5
AKZOINDIA,INE133A01011,1869
ALANKIT,INE914E01040,64.75
ALBERTDAVD,INE155C01010,390
ALBK,INE428A01015,68.4
ALCHEM,INE964B01033,13.35
ALEMBICLTD,INE426A01027,66.3
ALICON,INE062D01024,684.4
ALKALI,INE773I01017,84
ALKEM,INE540L01014,2229.95
ALKYLAMINE,INE150B01021,746.65
ALLCARGO,INE418H01029,195
ALLSEC,INE835G01018,418.35
ALMONDZ,INE326B01027,27.4
ALOKTEXT,INE270A01011,3.65
ALPA,INE385I01010,41
ALPHAGEO,INE137C01018,918
ALPSINDUS,INE093B01015,5.35
AMARAJABAT,INE885A01032,820
AMBER,INE371P01015,1299
AMBIKCO,INE540G01014,1416.9
AMBUJACEM,INE079A01024,263.3
AMDIND,INE005I01014,44
AMJLAND,INE606A01024,25.8
AMRUTANJAN,INE098F01023,605
AMTEKAUTO,INE130C01021,26.15
ANANTRAJ,INE242C01024,68.15
ANDHRABANK,INE434A01013,53.6
ANDHRACEMT,INE666E01012,13.2
ANDHRSUGAR,INE715B01013,664.75
ANGIND,INE017D01010,6
ANIKINDS,INE087B01017,42.8
ANSALAPI,INE436A01026,27.5
ANSALHSG,INE880B01015,28.75
ANTGRAPHIC,INE414B01021,1.05
APARINDS,INE372A01015,768.65
APCL,INE071F01012,234.75
APCOTEXIND,INE116A01024,484
APEX,INE346W01013,657
APLAPOLLO,INE702C01019,2240
APLLTD,INE901L01018,576.9
APOLLO,INE713T01010,360.85
APOLLOHOSP,INE437A01024,1173.85
APOLLOTYRE,INE438A01022,263.75
APOLSINHOT,INE451F01016,1420
